index,vocab
0,MOXD1
1,TAF3
2,SLC6A7
3,MIR155HG
4,CLC
5,ARID5B
6,LINC00938
7,FBXW10
8,CYHR1
9,LRRC34
10,RNA5SP191
11,AARS
12,NDUFB4
13,WDR34
14,PAX8-AS1
15,MIR129-2
16,KIR2DL1
17,EREG
18,CSRP2
19,NME6
20,OR4D6
21,BCLAF3
22,EIF1AD
23,NMRK2
24,CCDC28B
25,SLC35E3
26,KRT23
27,FAM65A
28,TUBGCP4
29,CLIC4P1
30,GABRA1
31,MTA2
32,IL23A
33,KRBOX1
34,CIPC
35,COMMD2
36,CHST9
37,CX3CL1
38,FAM161B
39,OGN
40,KCNH7
41,FAM151B
42,ADIPOQ
43,SCAND1
44,ELK1
45,IGHV3OR16-6
46,ZDHHC23
47,MPZL2
48,MED1
49,TMEM154
50,MORN5
51,MUTED
52,TNS4
53,FSD1L
54,MCTP1
55,ODF3L2
56,TSPOAP1-AS1
57,KIAA1033
58,CPXM2
59,RBM34
60,HDDC2
61,NUDT21
62,TRY-GTA11-1
63,LINC00114
64,POU4F2
65,TYR
66,STX16-NPEPL1
67,ZBTB3
68,RNF17
69,HIST1H4I
70,DALRD3
71,ZFPL1
72,HOXA11
73,ZNF664
74,COMMD10
75,NDUFB3
76,DDX42
77,SNX4
78,IQCM
79,C1ORF147
80,KLF17
81,STOML1
82,MIR31
83,ANKRD1
84,KRT1
85,MAN1
86,SNORD81
87,DHX34
88,TNFSF15
89,C2ORF69
90,SNX29P2
91,SMG1
92,NMNAT3
93,FGFR3
94,METTL26
95,SPATA20
96,ZBTB1
97,SCML4
98,EHD1
99,GPIHBP1
100,RABGGTA
101,PSG10P
102,ZFP36L1
103,MIR4313
104,FAM3C
105,KIAA1328
106,ZNF410
107,PRR13P5
108,TSGA10IP
109,ZC3H11B
110,COX6A1
111,LDB3
112,PLCG1
113,MIR7-3
114,C1ORF21
115,CEP19
116,BCRP7
117,NAV3
118,HUS1
119,RPL4P2
120,ARHGAP45
121,ERBB2IP
122,BACE1-AS
123,ACER3
124,RIPOR2
125,ID1
126,NAA11
127,FBXL16
128,RPL10P16
129,KRTAP1-5
130,TRPC1
131,FBXL20
132,VDAC1P1
133,MIR3127
134,ATP11C
135,UBXD2
136,DIO3OS
137,ELOF1
138,MED8
139,SEPT8
140,FAM170B
141,TSBP1
142,ZFYVE9
143,GRK2
144,ABL1
145,HSF4
146,PXDN
147,DSC3
148,TMCO4
149,SNX19
150,WDPCP
151,IARS
152,NUP88
153,DEDD2
154,TAF2
155,GPR19
156,HMGN2P34
157,MZT2A
158,ENTPD1
159,SNORA84
160,PTER
161,CHCHD4
162,COL26A1
163,C2CD5
164,NUSAP1
165,UMODL1-AS1
166,OR8U1
167,ITGA2
168,DDX17
169,C9ORF153
170,PRSS57
171,GP5
172,SNORD50A
